iter	Passed	Remaining
0	46	277568
1	97	292177
2	144	287886
3	193	290429
4	244	293499
5	292	291798
6	344	295315
7	396	296824
8	442	294420
9	493	295643
10	543	296138
11	591	295144
12	637	293773
13	682	291953
14	727	290408
15	778	291178
16	831	292693
17	896	297915
18	951	299600
19	1010	302187
20	1080	307756
21	1142	310390
22	1202	312446
23	1254	312473
24	1305	312068
25	1353	310908
26	1397	309123
27	1443	307807
28	1492	307250
29	1540	306465
30	1585	305315
31	1631	304300
32	1684	304675
33	1730	303712
34	1783	303974
35	1832	303615
36	1873	301961
37	1948	305761
38	2005	306548
39	2053	306006
40	2101	305378
41	2148	304747
42	2201	305016
43	2252	304876
44	2310	305753
45	2367	306379
46	2410	305337
47	2454	304412
48	2500	303637
49	2543	302674
50	2589	302019
51	2633	301234
52	2678	300561
53	2716	299095
54	2753	297630
55	2790	296196
56	2828	294879
57	2870	294081
58	2909	293004
59	2951	292231
60	2999	292053
61	3045	291661
62	3086	290837
63	3128	290167
64	3169	289421
65	3213	288944
66	3262	288943
67	3311	288853
68	3358	288703
69	3409	288840
70	3460	288992
71	3506	288690
72	3552	288440
73	3600	288299
74	3645	287984
75	3690	287700
76	3737	287502
77	3782	287188
78	3830	287120
79	3879	287085
80	3929	287159
81	3976	286954
82	4022	286775
83	4073	286876
84	4126	287123
85	4174	287065
86	4223	287051
87	4270	286933
88	4312	286428
89	4358	286232
90	4405	286046
91	4455	286136
92	4501	285941
93	4546	285680
94	4593	285536
95	4635	285090
96	4674	284491
97	4711	283777
98	4750	283136
99	4789	282570
100	4830	282142
101	4872	281746
102	4920	281734
103	4964	281451
104	5010	281285
105	5054	281051
106	5093	280544
107	5138	280358
108	5186	280289
109	5230	280073
110	5279	280084
111	5325	279961
112	5372	279900
113	5418	279759
114	5463	279576
115	5511	279580
116	5556	279396
117	5603	279308
118	5649	279195
119	5692	278948
120	5738	278836
121	5784	278686
122	5836	278878
123	5885	278917
124	5935	278968
125	5983	278959
126	6035	279124
127	6090	279420
128	6147	279786
129	6190	279545
130	6236	279416
131	6285	279412
132	6333	279409
133	6381	279362
134	6441	279846
135	6491	279878
136	6534	279629
137	6579	279488
138	6624	279345
139	6666	279058
140	6709	278809
141	6753	278611
142	6795	278312
143	6840	278162
144	6881	277864
145	6926	277741
146	6973	277653
147	7017	277458
148	7063	277364
149	7111	277360
150	7162	277427
151	7211	277437
152	7259	277409
153	7304	277292
154	7355	277367
155	7408	277530
156	7458	277561
157	7505	277506
158	7559	277712
159	7610	277798
160	7662	277905
161	7712	277920
162	7759	277856
163	7800	277595
164	7844	277401
165	7892	277366
166	7942	277405
167	7989	277366
168	8041	277445
169	8088	277403
170	8134	277290
171	8184	277313
172	8233	277338
173	8283	277353
174	8331	277336
175	8382	277383
176	8429	277324
177	8476	277234
178	8519	277062
179	8567	277031
180	8612	276875
181	8654	276662
182	8695	276403
183	8733	276052
184	8771	275700
185	8808	275339
186	8846	274997
187	8889	274819
188	8935	274729
189	8982	274674
190	9041	274991
191	9091	275023
192	9141	275038
193	9187	274960
194	9233	274888
195	9278	274752
196	9323	274627
197	9370	274571
198	9417	274513
199	9465	274509
200	9512	274434
201	9561	274447
202	9605	274305
203	9652	274230
204	9696	274101
205	9738	273910
206	9781	273749
207	9823	273533
208	9867	273399
209	9913	273326
210	9956	273164
211	10000	273038
212	10047	272987
213	10094	272932
214	10137	272775
215	10182	272652
216	10225	272504
217	10268	272341
218	10316	272314
219	10363	272279
220	10407	272143
221	10449	271981
222	10495	271887
223	10540	271793
224	10584	271673
225	10625	271477
226	10667	271300
227	10709	271109
228	10746	270813
229	10779	270424
230	10814	270080
231	10849	269746
232	10887	269480
233	10933	269404
234	10979	269337
235	11024	269266
236	11070	269185
237	11117	269148
238	11167	269178
239	11219	269259
240	11270	269329
241	11320	269354
242	11371	269403
243	11422	269461
244	11466	269348
245	11515	269348
246	11563	269339
247	11614	269386
248	11664	269410
249	11714	269442
250	11763	269428
251	11813	269462
252	11862	269454
253	11904	269300
254	11949	269218
255	11991	269063
256	12038	269015
257	12083	268925
258	12128	268848
259	12176	268815
260	12221	268734
261	12264	268591
262	12307	268476
263	12350	268353
264	12396	268283
265	12443	268237
266	12487	268138
267	12531	268031
268	12577	267959
269	12617	267769
270	12657	267591
271	12698	267424
272	12736	267185
273	12775	266989
274	12821	266914
275	12875	267022
276	12926	267062
277	12978	267132
278	13029	267173
279	13077	267148
280	13122	267067
281	13161	266874
282	13204	266753
283	13245	266598
284	13291	266521
285	13336	266459
286	13380	266358
287	13425	266263
288	13467	266137
289	13511	266036
290	13556	265961
291	13601	265877
292	13647	265815
293	13690	265711
294	13736	265652
295	13779	265527
296	13823	265443
297	13871	265419
298	13917	265366
299	13963	265315
300	14008	265239
301	14033	264768
302	14077	264692
303	14122	264619
304	14168	264547
305	14210	264423
306	14255	264351
307	14303	264338
308	14350	264306
309	14398	264291
310	14448	264307
311	14495	264269
312	14544	264261
313	14589	264190
314	14632	264073
315	14670	263887
316	14705	263634
317	14741	263397
318	14777	263160
319	14813	262941
320	14846	262663
321	14883	262456
322	14925	262330
323	14971	262280
324	15013	262166
325	15056	262054
326	15100	261966
327	15143	261879
328	15188	261805
329	15229	261669
330	15272	261567
331	15317	261496
332	15359	261389
333	15403	261310
334	15448	261247
335	15499	261284
336	15545	261224
337	15590	261165
338	15638	261145
339	15682	261062
340	15727	260997
341	15781	261093
342	15825	261000
343	15869	260917
344	15908	260766
345	15954	260711
346	16003	260716
347	16056	260772
348	16102	260730
349	16144	260611
350	16187	260528
351	16233	260473
352	16281	260458
353	16332	260497
354	16375	260390
355	16422	260367
356	16470	260337
357	16516	260290
358	16560	260210
359	16602	260108
360	16642	259959
361	16677	259751
362	16716	259589
363	16750	259360
364	16785	259145
365	16821	258935
366	16856	258733
367	16895	258575
368	16941	258523
369	16982	258405
370	17026	258340
371	17070	258265
372	17116	258220
373	17162	258173
374	17203	258056
375	17247	257976
376	17292	257924
377	17335	257824
378	17378	257739
379	17422	257671
380	17468	257631
381	17512	257549
382	17560	257533
383	17600	257403
384	17640	257273
385	17685	257217
386	17730	257157
387	17772	257063
388	17815	256971
389	17861	256932
390	17910	256931
391	17956	256888
392	18003	256855
393	18048	256805
394	18093	256739
395	18137	256673
396	18182	256622
397	18227	256559
398	18271	256488
399	18317	256441
400	18356	256300
401	18406	256310
402	18451	256255
403	18495	256195
404	18543	256171
405	18588	256122
406	18625	255957
407	18665	255832
408	18701	255645
409	18737	255468
410	18772	255275
411	18810	255126
412	18846	254949
413	18887	254850
414	18926	254704
415	18971	254658
416	19014	254572
417	19058	254509
418	19099	254405
419	19143	254339
420	19187	254274
421	19228	254156
422	19271	254087
423	19312	253979
424	19355	253896
425	19401	253864
426	19445	253790
427	19487	253703
428	19536	253698
429	19584	253682
430	19630	253652
431	19675	253597
432	19721	253561
433	19767	253519
434	19810	253433
435	19857	253417
436	19903	253370
437	19947	253309
438	19994	253279
439	20047	253326
440	20091	253261
441	20134	253179
442	20176	253097
443	20220	253031
444	20268	253011
445	20317	253014
446	20371	253067
447	20417	253025
448	20459	252935
449	20502	252865
450	20549	252842
451	20591	252750
452	20628	252591
453	20663	252420
454	20701	252283
455	20738	252132
456	20776	251999
457	20815	251878
458	20850	251708
459	20889	251581
460	20935	251541
461	20978	251473
462	21023	251424
463	21067	251357
464	21112	251301
465	21156	251241
466	21197	251150
467	21240	251071
468	21287	251047
469	21332	251000
470	21378	250958
471	21424	250920
472	21468	250854
473	21516	250846
474	21562	250803
475	21607	250756
476	21654	250731
477	21699	250683
478	21744	250624
479	21788	250568
480	21836	250549
481	21880	250487
482	21923	250421
483	21968	250369
484	22013	250317
485	22057	250262
486	22101	250191
487	22142	250099
488	22186	250041
489	22228	249955
490	22270	249869
491	22314	249816
492	22358	249750
493	22406	249732
494	22455	249727
495	22503	249717
496	22550	249691
497	22594	249623
498	22631	249492
499	22666	249327
500	22701	249174
501	22745	249116
502	22783	248987
503	22822	248874
504	22858	248732
505	22902	248670
506	22955	248703
507	23003	248690
508	23052	248690
509	23100	248674
510	23142	248587
511	23183	248496
512	23225	248422
513	23271	248376
514	23318	248354
515	23364	248320
516	23411	248293
517	23460	248282
518	23507	248254
519	23550	248188
520	23591	248092
521	23631	247997
522	23676	247946
523	23720	247884
524	23763	247816
525	23803	247723
526	23847	247657
527	23893	247618
528	23936	247556
